name,link,rating,num_reviews,price,cuisine,district,num_bookings
Yarsa Nepalese Cuisine,https://www.opentable.com/r/yarsa-nepalese-cuisine-san-francisco,4.3,3,$$,Nepalese,North Beach,0
Krua Thai - San Francisco,https://www.opentable.com/r/krua-thai-san-francisco,4.3,137,$$,Thai,Mission,3
Lolo,https://www.opentable.com/lolo,4.3,381,$$$$,Mexican,Mission,0
Aslam's Rasoi,https://www.opentable.com/aslams-rasoi,4.3,182,$$,Indian,Mission,0
Pa'ina Restaurant and Bar,https://www.opentable.com/r/paina-restaurant-and-bar-san-francisco,4.3,106,$$,Hawaiian,Japantown,0
SINI,https://www.opentable.com/r/sini-san-francisco,4.3,1,$$,Mediterranean,Financial District / Embarcadero,0
Per Diem,https://www.opentable.com/r/per-diem-san-francisco,4.3,967,$$,Californian,Financial District / Embarcadero,0
Zingari Ristorante & Rooftop,https://www.opentable.com/r/zingari-rooftop-ristorante-san-francisco,4.3,2127,$$$$,Italian,Downtown / Union Square,21
Morton's The Steakhouse - San Francisco,https://www.opentable.com/r/mortons-the-steakhouse-san-francisco,4.3,3310,$$,Steakhouse,Downtown / Union Square,61
E&O Kitchen and Bar,https://www.opentable.com/r/e-and-o-kitchen-and-bar-san-francisco,4.3,2757,$$,Asian,Downtown / Union Square,0
All Spice - San Francisco - Permanently Closed,https://www.opentable.com/all-spice-san-francisco-permanently-closed,4.3,65,$$$$,Contemporary American,Downtown / Union Square,0
Hops & Hominy,https://www.opentable.com/hops-and-hominy,4.3,1200,$$,Southern,Downtown / Union Square,0
Golden Crab House,https://www.opentable.com/r/golden-crab-house-san-francisco,4.2,6,$$$,Seafood,Sunset District,7
Chevys Fresh Mex - South San Francisco,https://www.opentable.com/r/chevys-fresh-mex-south-sf-south-san-francisco,4.2,97,$$$,Mexican,South San Francisco,10
Ame - Permanently Closed,https://www.opentable.com/ame-permanently-closed,4.2,1150,$$$$,Contemporary American,SOMA,0
The Garden Court - Luxury Collection,https://www.opentable.com/r/garden-court-san-francisco,4.2,1976,$$$$,Californian,SOMA,0
Lord Stanley,https://www.opentable.com/lord-stanley,4.2,85,$$$,Contemporary European,Russian Hill,0
Gilberth's Latin Fusion,https://www.opentable.com/r/gilberths-latin-fusion-san-francisco,4.2,172,$$,Latin American,Potrero Hill / Dogpatch,6
Top of the Mark,https://www.opentable.com/top-of-the-mark,4.2,829,$$$,Californian,Nob Hill,0
Colombini Italian Cafe & Bistro - Nob Hill Hotel,https://www.opentable.com/colombini-italian-cafe-and-bistro-nob-hill-hotel,4.2,232,$$$,Italian,Nob Hill,0
Blue Pea - Thai Bistro,https://www.opentable.com/r/blue-pea-thai-bistro-san-francisco,4.2,35,$$,Thai,Mission,0
Tratto - San Francisco,https://www.opentable.com/r/tratto-san-francisco,4.2,754,$$,Italian,Downtown / Union Square,0
bota tapas and paella bar,https://www.opentable.com/r/bota-tapas-and-paella-bar-san-francisco,4.2,556,$$$,Tapas / Small Plates,Downtown / Union Square,20
Hayes Street Grill,https://www.opentable.com/hayes-street-grill,4.2,2960,$$$,Seafood,Civic Center / Hayes Valley / Van Ness,0
Andiamo In Banca,https://www.opentable.com/r/andiamo-in-banca-san-francisco,4.1,236,$$,Italian,South San Francisco,6
FANG,https://www.opentable.com/fang,4.1,1966,$$,Chinese,SOMA,8
Trace,https://www.opentable.com/trace,4.1,1017,$$,American,SOMA,0
Hyde Street Seafood House & Raw Bar,https://www.opentable.com/hyde-street-seafood-house-and-raw-bar,4.1,715,$$,Seafood,Russian Hill,0
Rangoon Ruby Burmese Cuisine - SF,https://www.opentable.com/rangoon-ruby-burmese-cuisine-sf,4.1,31,$$,Burmese,Russian Hill,0
Maison Danel,https://www.opentable.com/r/maison-patisserie-san-francisco,4.1,21,$$$,French,Russian Hill,0
Nob Hill Club at the Mark Hopkins,https://www.opentable.com/nob-hill-club-at-the-mark-hopkins,4.1,22,$$$,Californian,Nob Hill,0
Ristobar,https://www.opentable.com/r/ristobar-larkspur,4.1,12,$$$,Italian,Marina / Cow Hollow / Presidio,28
Wasabi & Ginger,https://www.opentable.com/wasabi-and-ginger,4.1,5,$$,Japanese,Marina / Cow Hollow / Presidio,0
Yank Sing - Rincon Center,https://www.opentable.com/yank-sing-rincon-center,4.1,2102,$$$,Dim Sum,Financial District / Embarcadero,58
California Pizza Kitchen - 53 Third Street - PRIORITY SEATING,https://www.opentable.com/r/california-pizza-kitchen-san-francisco,4.1,6,$$,American,Downtown / Union Square,0
Le Central,https://www.opentable.com/r/le-central-san-francisco,4.1,1716,$$,French,Downtown / Union Square,0
Pazzia,https://www.opentable.com/r/pazzia-san-francisco,4,1,$$$,Italian,SOMA,0
La Mediterranee - Fillmore,https://www.opentable.com/r/la-mediterranee-fillmore-san-francisco,4,2,$$,Mediterranean,Pacific Heights,0
Ten-Ichi Restaurant,https://www.opentable.com/r/ten-ichi-restaurant-san-francisco,4,28,$$$,Japanese,Pacific Heights,0
Laurel Court Restaurant & Bar - Fairmont San Francisco,https://www.opentable.com/laurel-court-restaurant-and-bar-fairmont-san-francisco,4,1218,$$$,Californian,Nob Hill,0
Deccan Spice,https://www.opentable.com/r/deccan-spice-san-francisco,4,7,$$,South Indian,Mission,0
Clay Oven on Haight,https://www.opentable.com/clay-oven-on-haight,4,19,$$,Indian,Haight,0
Clay Oven Indian Restaurant - West Portal,https://www.opentable.com/clay-oven-indian-restaurant-west-portal,4,89,$$,Indian,Forest Hill / West Portal,0
Hard Rock Cafe - San Francisco,https://www.opentable.com/hard-rock-cafe-san-francisco,4,456,$$,American,Fisherman's Wharf,23
Franciscan Crab Restaurant,https://www.opentable.com/franciscan-crab-restaurant,4,3089,$$,Seafood,Fisherman's Wharf,63
Mikaku Restaurant,https://www.opentable.com/mikaku-restaurant,4,178,$$,Japanese,Downtown / Union Square,0
